Название в программе;Нормализованное название в программе;Найденное совпадение в exercise DB;DB id;Confidence score;Статус;Причина;Предлагаемый alias;Встречается в программах;Кол-во course_id;Кол-во lesson_id;Muscle group DB;Pattern DB;Target zone DB;DB has video;Второй кандидат;Score второго кандидата;Пример raw/comment
Гак присед;гак присед;"Гак присед, техника выполнения упражнения";table_040;1;exact_match;Нормализованные названия совпадают полностью.;;18;11;18;ноги;приседание;Квадрицепс;true;"Обратный Гак присед, техника выполнения упражнения";0.92;Упражнение 2: Гак присед 4 подходов x 6 раз | Упражнение 2: Гак присед 4 подходов x 6 раз | Упражнение 5: Гак присед 4 подходов x 12 раз
Вертикальная тяга одной рукой;вертикальная тяга одной рукой;"Вертикальная тяга одной рукой, техника выполнения упражнения";table_054;1;exact_match;Нормализованные названия совпадают полностью.;;17;12;17;спина;вертикальная тяга;Широчайшие;true;"Вертикальная тяга, техника выполнения упражнения";0.88;Упражнение 2: Вертикальная тяга одной рукой 4 подходов x 10 раз | Упражнение 2: Вертикальная тяга одной рукой 4 подходов x 10 раз | Упражнение 2: Вертикальная тяга одной рукой 3 подходов x 12 раз
Отжимания на брусьях;отжимания на брусьях;"Отжимания на брусьях, техника выполнения упражнения";table_140;1;exact_match;Нормализованные названия совпадают полностью.;;17;10;17;трицепс;вертикальный жим;Нижняя грудь / трицепс;true;"Отжимания на брусьях в гравитроне, техника выполнения упражнения";0.92;Упражнение 2: Отжимания на брусьях 4 подходов x 6 раз | Упражнение 2: Отжимания на брусьях 4 подходов x 6 раз | Упражнение 2: Отжимания на брусьях 4 подходов x 10 раз
Суперсет на верх груди в смитте;суперсет на верх груди в смитте;"Суперсет на верх груди в смитте, техника выполнения упражнения";table_128;1;exact_match;Нормализованные названия совпадают полностью.;;17;7;17;грудь;горизонтальный жим;Верх груди;true;"Жим в хаммере на верх груди, техника выполнения упражнения";0.422;Упражнение 2: Суперсет на верх груди в смитте 4 подходов x 8 раз | Упражнение 3: Суперсет на верх груди в смитте 4 подходов x 10 раз | Упражнение 2: Суперсет на верх груди в смитте 4 подходов x 8 раз
Т-тяга в тренажере;т тяга в тренажере;"Т-тяга в тренажёре, техника выполнения упражнения";table_065;1;exact_match;Нормализованные названия совпадают полностью.;;17;8;17;спина;горизонтальная тяга;Верх спины;true;"Трицепс в тренажере, техника выполнения упражнения";0.502;Упражнение 3: Т-тяга в тренажере 4 подходов x 15 раз | Упражнение 3: Т-тяга в тренажере 4 подходов x 15 раз | Упражнение 3: Т-тяга в тренажере 4 подходов x 8 раз
Разгибание на трицепс из-за головы;разгибание на трицепс из за головы;"Разгибание на трицепс из-за головы, техника выполнения упражнения";table_161;1;exact_match;Нормализованные названия совпадают полностью.;;16;9;16;трицепс;разгибание локтя;Трицепс;true;"Разгибание на трицепс в наклоне, техника выполнения упражнения";0.649;Упражнение 5: Разгибание на трицепс из-за головы 4 подходов x 12 раз | Упражнение 5: Разгибание на трицепс из-за головы 4 подходов x 12 раз | Упражнение 5: Разгибание на трицепс из-за головы 4 подходов x 12 раз
Армейский жим;армейский жим;"Армейский жим, техника выполнения упражнения";table_050;1;exact_match;Нормализованные названия совпадают полностью.;;15;6;15;плечи передняя дельта средняя дельта;вертикальный жим;Передняя / средняя дельта;true;"G-жим, техника выполнения упражнения";0.458;Упражнение 4: Армейский жим 4 подходов x 6 раз | Упражнение 4: Армейский жим 4 подходов x 6 раз | Упражнение 4: Армейский жим 4 подходов x 8 раз
Бицепс с двумя гантелями на скамье Скотта;бицепс с двумя гантелями на скамье скотта;"Бицепс с двумя гантелями на скамье скотта, техника выполнения упражнения";table_163;1;exact_match;Нормализованные названия совпадают полностью.;;15;11;15;бицепс;сгибание локтя;Бицепс;true;"Бицепс с гантелью на скамье скотта, техника выполнения упражнения";0.616;Упражнение 5: Бицепс с двумя гантелями на скамье Скотта 4 подходов x 10 раз | Упражнение 5: Бицепс с двумя гантелями на скамье Скотта 4 подходов x 10 раз | Упражнение 5: Бицепс с двумя гантелями на скамье Скотта 4 подходов x 10 раз
Подъем на бицепс гантелей стоя.;подъем на бицепс гантелей стоя;"Подъем на бицепс гантелей стоя, техника выполнения упражнения";table_186;1;exact_match;Нормализованные названия совпадают полностью.;;15;8;15;бицепс;сгибание локтя;Бицепс;true;"Подъем на бицепс с резинкой сидя, техника выполнения упражнения";0.495;Упражнение 5: Подъем на бицепс гантелей стоя. 4 подходов x 10 раз | Упражнение 5: Подъем на бицепс гантелей стоя. 4 подходов x 10 раз | Упражнение 5: Подъем на бицепс гантелей стоя. 4 подходов x 10 раз
Си-си присед с собственным весом;си си присед с собственным весом;"Си-си присед с собственным весом, техника выполнения упражнения";table_014;1;exact_match;Нормализованные названия совпадают полностью.;;15;11;15;ноги квадрицепс;приседание;Квадрицепс;true;"Си-си присед на бицепс бедра в смите, техника выполнения упражнения";0.45;Упражнение 5: Си-си присед с собственным весом 4 подходов x 10 раз | Упражнение 5: Си-си присед с собственным весом 4 подходов x 10 раз | Упражнение 3: Си-си присед с собственным весом 4 подходов x 10 раз
Горизонтальный жим ногами;горизонтальный жим ногами;"Горизонтальный жим ногами, техника выполнения упражнения";table_043;1;exact_match;Нормализованные названия совпадают полностью.;;13;10;13;ноги;жим ногами;Квадрицепс;true;"Жим ногами, техника выполнения упражнения";0.88;Упражнение 5: Горизонтальный жим ногами 4 подходов x 8 раз | Упражнение 5: Горизонтальный жим ногами 4 подходов x 8 раз | Упражнение 5: Горизонтальный жим ногами 4 подходов x 12 раз
Планка на босу;планка на босу;"Планка на босу, техника выполнения упражнения";table_093;1;exact_match;Нормализованные названия совпадают полностью.;;13;8;13;пресс;стабилизация;Кор;true;"Планка на босу под ногами, техника выполнения упражнения";0.92;Упражнение 6: Планка на босу 4 подходов x 1 мин | Упражнение 6: Планка на босу 4 подходов x 1 мин | Упражнение 6: Планка на босу 4 подходов x 1 мин
Подтягивания параллельным хватом;подтягивания параллельным хватом;"Подтягивания параллельным хватом, техника выполнения упражнения";table_069;1;exact_match;Нормализованные названия совпадают полностью.;;13;8;13;спина;вертикальная тяга;Широчайшие / бицепс;true;"Подтягивания в гравитроне параллельным хватом, техника выполнения упражнения";0.878;Упражнение 1: Подтягивания параллельным хватом 4 подходов x 10 раз | Упражнение 1: Подтягивания параллельным хватом 4 подходов x 10 раз | Упражнение 3: Подтягивания параллельным хватом 4 подходов x 8 раз
Подъем на бицепс спиной к кроссоверу;подъем на бицепс спиной к кроссоверу;"Подъем на бицепс спиной к кроссоверу, техника выполнения упражнения";table_170;1;exact_match;Нормализованные названия совпадают полностью.;;11;8;11;бицепс;сгибание локтя;Бицепс;true;"Классический подъем на бицепс в кроссовере, техника выполнения упражнения";0.655;Упражнение 6: Подъем на бицепс спиной к кроссоверу 4 подходов x 12 раз | Упражнение 6: Подъем на бицепс спиной к кроссоверу 4 подходов x 12 раз | Упражнение 7: Подъем на бицепс спиной к кроссоверу 4 подходов x 10 раз
Сведение рук в кроссовере на горизонтальной скамье;сведение рук в кроссовере на горизонтальной скамье;Сведение рук в кроссовере на горизонтальной скамье;table_022;1;exact_match;Нормализованные названия совпадают полностью.;;10;9;10;грудь;сведение рук;Средняя грудь;true;"Сведение рук в кроссовере, техника выполнения упражнения";0.88;Упражнение 3: Сведение рук в кроссовере на горизонтальной скамье 4 подходов x 15 раз | Упражнение 3: Сведение рук в кроссовере на горизонтальной скамье 4 подходов x 10 раз | Упражнение 3: Сведение рук в кроссовере на горизонтальной скамье 4 подходов x 10 раз
Отжимания с гантелей на трицепс;отжимания с гантелей на трицепс;"Отжимания с гантелей на трицепс, техника выполнения упражнений";table_142;1;exact_match;Нормализованные названия совпадают полностью.;;8;7;8;трицепс;разгибание локтя;Трицепс;true;"Отжимания на брусьях, техника выполнения упражнения";0.34;Упражнение 5: Отжимания с гантелей на трицепс 4 подходов x 8 раз | Упражнение 5: Отжимания с гантелей на трицепс 4 подходов x 8 раз | Упражнение 6: Отжимания с гантелей на трицепс 4 подходов x 10 раз
Попеременный подъем на бицепс;попеременный подъем на бицепс;"Попеременный подъем на бицепс, техника выполнения упражнения";table_177;1;exact_match;Нормализованные названия совпадают полностью.;;8;5;8;бицепс;сгибание локтя;Бицепс;true;"Концентрированный подъем на бицепс, техника выполнения упражнения";0.636;Упражнение 6: Попеременный подъем на бицепс 4 подходов x 20 раз | Упражнение 6: Попеременный подъем на бицепс 4 подходов x 20 раз | Упражнение 6: Попеременный подъем на бицепс 4 подходов x 20 раз
Подъем на бицепс с резинкой сидя;подъем на бицепс с резинкой сидя;"Подъем на бицепс с резинкой сидя, техника выполнения упражнения";table_167;1;exact_match;Нормализованные названия совпадают полностью.;;5;3;5;бицепс;сгибание локтя;Бицепс;true;"Подъем на бицепс гантелей стоя, техника выполнения упражнения";0.495;Упражнение 5: Подъем на бицепс с резинкой сидя 4 подходов x 10 раз | Упражнение 5: Подъем на бицепс с резинкой сидя 4 подходов x 10 раз | Упражнение 4: Подъем на бицепс с резинкой сидя 4 подходов x 10 раз
Сведение рук в кроссовере на 30 градусной скамье;сведение рук в кроссовере на 30 градусной скамье;"Сведение рук в кроссовере на 30-градусной скамье, техника выполнения упражнения";table_019;1;exact_match;Нормализованные названия совпадают полностью.;;5;3;5;грудь;сведение рук;Верх груди;true;"Сведение рук в кроссовере, техника выполнения упражнения";0.88;Упражнение 3: Сведение рук в кроссовере на 30 градусной скамье 4 подходов x 10 раз | Упражнение 3: Сведение рук в кроссовере на 30 градусной скамье 4 подходов x 10 раз | Упражнение 2: Сведение рук в кроссовере на 30 градусной скамье 4 подходов x 10 раз
Жим гирей с пола;жим гирей с пола;"Жим гирей с пола, техника выполнения упражнения";table_154;1;exact_match;Нормализованные названия совпадают полностью.;;4;4;4;трицепс;горизонтальный жим;Трицепс / грудь;true;"Жим с пола узким хватом, техника выполнения упражнения";0.515;Упражнение 5: Жим гирей с пола 4 подходов x 8 раз | Упражнение 5: Жим гирей с пола 4 подходов x 8 раз | Упражнение 6: Жим гирей с пола 4 подходов x 10 раз
Паучьи сгибания молотковым хватом;паучьи сгибания молотковым хватом;"Паучьи сгибания молотковым хватом, техника выполнения упражнения";table_179;1;exact_match;Нормализованные названия совпадают полностью.;;2;1;2;бицепс;сгибание локтя;Бицепс / брахиалис;true;"Паучьи сгибания, техника выполнения упражнения";0.88;Упражнение 5: Паучьи сгибания молотковым хватом 4 подходов x 12 раз | Упражнение 5: Паучьи сгибания молотковым хватом 4 подходов x 12 раз
Пуловер с гантелей;пуловер с гантелей;"Пуловер с гантелей, техника выполнения упражнения";table_066;1;exact_match;Нормализованные названия совпадают полностью.;;2;2;2;спина;пуловер;Широчайшие;true;"Пуловер со штангой, техника выполнения упражнения";0.485;Упражнение 3: Пуловер с гантелей 4 подходов x 10 раз | Упражнение 3: Пуловер с гантелей 4 подходов x 10 раз
Си-си приседания на переднюю поверхность бедра;си си приседания на переднюю поверхность бедра;Си-си приседания на переднюю поверхность бедра;table_030;1;exact_match;Нормализованные названия совпадают полностью.;;2;2;2;ноги;приседание;Квадрицепс;true;"Си-си присед на бицепс бедра в смите, техника выполнения упражнения";0.373;Упражнение 3: Си-си приседания на переднюю поверхность бедра 4 подходов x 10 раз | Упражнение 3: Си-си приседания на переднюю поверхность бедра 4 подходов x 10 раз
Подтягивания в гравитроне обратным хватом;подтягивания в гравитроне обратным хватом;"Подтягивания в гравитроне обратным хватом, техника выполнения упражнения";table_081;1;exact_match;Нормализованные названия совпадают полностью.;;1;1;1;спина;вертикальная тяга;Широчайшие / бицепс;true;"Подтягивания в гравитроне широким хватом, техника выполнения упражнения";0.738;Упражнение 2: Подтягивания в гравитроне обратным хватом 4 подходов x 15 раз
